ID,FirstName,LastName,Email,JobTitle,Company,Tags,Themes,HasBio,HasSessions,IsOfficial,IsPartner,IsTopSpeaker,CommunicationManager,ImageSmallURL,ImageThumbnailURL,ImageLargeURL,ImageMainURL
9e3a8589-c629-f011-8b3d-6045bd903b46,Jensen,Huang,,Founder and CEO,NVIDIA,,,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/73b9db4a-b208-4e85-997c-117f10576f36,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/282803d3-1d8a-4ef3-8d8a-f753eb215d5a,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/f361626e-5fa1-410e-bc9d-e23a13eee9ed,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/a7b17528-5944-47cd-94ef-1f57631cb1ab
55208d04-5e09-f011-aaa7-6045bd9d3cdc,Arthur,Mensch,,CEO,Mistral AI,,,false,false,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/fc398655-437b-49de-8eeb-2f7bed841544,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/8a4b7719-8699-405b-82ab-f0cd3aa6ce57,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/338e5c5a-ac3c-4de0-ab83-bf0f65583c63,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/338e5c5a-ac3c-4de0-ab83-bf0f65583c63
900d68e7-38fb-ef11-90cb-6045bdf3a630,Joe,Tsai,,Co-founder and Chairman,Alibaba,"Artificial Intelligence, Sports",,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/95ccbe65-2bfa-432f-ad4b-4a0f6909446b,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/47733a6c-0efa-4d97-9193-1ac29ffd7bf2,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/38625080-7772-4d20-9360-c92d3170fb7c,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/a0a44e92-ec05-43dd-8fce-ccca2f46cea4
6695702d-e2f5-ef11-90cb-6045bda07d25,Yann,Le Cun,,VP & Chief AI Scientist,Meta,Artificial Intelligence,,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/d79341b8-8508-46b2-934e-ce97bdb9bff7,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/af4cc443-1897-4ef2-a46a-c490d7413024,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/3186bea3-5157-4f9e-b0bf-0eaf3b09dfa8,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/e24ac189-b7f7-44bd-857d-92a88c71001b
ac427ef5-c808-f011-aaa7-6045bd9d3cdc,Thomas,Wolf,,Co-Founder & Chief Science Officer,Hugging Face,Artificial Intelligence,,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/553b38ea-ae57-4f5b-b3e3-b04800f5dabf,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/d90e0d04-3951-4b72-ad08-bf2ba30365e4,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/dc3da722-43c6-476f-858c-52887a66d60b,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/dc3da722-43c6-476f-858c-52887a66d60b
d288530b-b004-f011-aaa7-6045bd9d3cdc,Vanessa,Wyche,,Acting Associate Administrator,NASA,,,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/32b50995-262b-4f18-8248-87773f6d628f,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/6be6e1a2-d106-47a4-957e-136038c0be99,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/1efcb079-8936-4a80-babb-38d9cc3ab6e2,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/b922c049-b260-4340-8858-b9be0ba6d057
9dc2f49a-4fff-ef11-aaa7-6045bd9d3cdc,Bernard,Arnault,,Chairman & Chief Executive Officer,LVMH,,,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/05346223-ccf5-4e32-9217-e0ba76a353e3,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/9c0811d9-2cf7-4195-a01d-26ba0bd3778f,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/86f9ca1c-fc7d-4bee-ba89-8f3354f53cdb,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/53dbedf8-b57f-4079-a685-cb81be749eff
2ba86d3c-c808-f011-aaa7-6045bd9d3cdc,Fidji,Simo,,CEO and Chair,Instacart,"Retail & E-commerce, Artificial Intelligence, Healthcare & Wellness",,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/90d4eede-a82d-4b89-9479-57c16e820c89,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/353fadb9-b5c4-45a4-85c8-564feed7a4b4,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/25ff6b29-8131-4aca-bec1-d819e087b8df,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/bb133a11-fcd5-4909-beb2-1ca8a32c628e
b8e96c56-b004-f011-aaa7-6045bd9d3cdc,Ami,Badani,,Chief Marketing Officer,ARM Holdings,"Artificial Intelligence, Climate Tech, Mobility & Smart Cities",,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/d73c19b0-fb62-48b9-a9bd-47f1c504a283,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/eae01069-e07d-4e9a-ab06-69ca118da9f4,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/5aad8b64-43f0-4322-b4e4-77701533c1f2,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/255b922f-1b4a-4da7-80c9-61b277176fbb
ee19729d-6bed-ef11-88f8-6045bd89b60c,Colin,Murdoch,,President,Isomorphic Labs,"Artificial Intelligence, Healthcare & Wellness",,true,true,true,false,true,N/A,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/58c61cb9-d411-47f1-9cd0-a001a31c5262,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/aa70e792-6314-48b8-8b6e-8d199d374f64,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/315592ec-2406-47cd-852a-b72276895548,https://storageprdv2inwink.blob.core.windows.net/eb8f3fce-49cf-458a-94c3-1e14a570d54c/3cc7c5b8-d8c3-49d8-8bd4-dcac9d8c4f56
